Var1,Var2,Var3
"BRD-K00064929.txt.mat",644,12282
"BRD-K00069117.txt.mat",644,12282
"BRD-K00083176.txt.mat",644,12282
"BRD-K00113100.txt.mat",644,12282
"BRD-K00117639.txt.mat",644,12282
"BRD-K00119817.txt.mat",644,12282
"BRD-K00124439.txt.mat",644,12282
"BRD-K00133896.txt.mat",644,12282
"BRD-K00141503.txt.mat",644,12282
"BRD-K00144236.txt.mat",644,12282
"BRD-K00150267.txt.mat",644,12282
"BRD-K00172657.txt.mat",644,12282
"BRD-K00175211.txt.mat",644,12282
"BRD-K00177096.txt.mat",644,12282
"BRD-K00179355.txt.mat",644,12282
"BRD-K00183357.txt.mat",644,12282
"BRD-K00185670.txt.mat",644,12282
"BRD-K00188019.txt.mat",644,12282
"BRD-K00196194.txt.mat",644,12282
"BRD-K00199388.txt.mat",644,12282
"BRD-K00199686.txt.mat",644,12282
"BRD-K00203625.txt.mat",644,12282
"BRD-K00223956.txt.mat",644,12282
"BRD-K00224166.txt.mat",644,12282
"BRD-K00232157.txt.mat",644,12282
"BRD-K00233837.txt.mat",644,12282
"BRD-K00241248.txt.mat",644,12282
"BRD-K00248354.txt.mat",644,12282
"BRD-K00248931.txt.mat",644,12282
"BRD-K00256256.txt.mat",644,12282
"BRD-K00256608.txt.mat",644,12282
"BRD-K00259552.txt.mat",644,12282
"BRD-K00262440.txt.mat",644,12282
"BRD-K00262667.txt.mat",644,12282
"BRD-K00270349.txt.mat",644,12282
"BRD-K00278564.txt.mat",644,12282
"BRD-K00289828.txt.mat",644,12282
"BRD-K00303543.txt.mat",644,12282
"BRD-K00313977.txt.mat",644,12282
"BRD-K00314651.txt.mat",644,12282
"BRD-K00317040.txt.mat",644,12282
"BRD-K00342680.txt.mat",644,12282
"BRD-K00346458.txt.mat",644,12282
"BRD-K00347265.txt.mat",644,12282
"BRD-K00347903.txt.mat",644,12282
"BRD-K00348196.txt.mat",644,12282
"BRD-K00349278.txt.mat",644,12282
"BRD-K00362189.txt.mat",644,12282
"BRD-K00366212.txt.mat",644,12282
"BRD-K00381581.txt.mat",644,12282
"BRD-K00382464.txt.mat",644,12282
"BRD-K00390580.txt.mat",644,12282
"BRD-K00391235.txt.mat",644,12282
"BRD-K00398667.txt.mat",644,12282
"BRD-K00403046.txt.mat",644,12282
"BRD-K00409424.txt.mat",644,12282
"BRD-K00409771.txt.mat",644,12282
"BRD-K00411687.txt.mat",644,12282
"BRD-K00412766.txt.mat",644,12282
"BRD-K00422823.txt.mat",644,12282
"BRD-K00429057.txt.mat",644,12282
"BRD-K00430421.txt.mat",644,12282
"BRD-K00431438.txt.mat",644,12282
"BRD-K00434250.txt.mat",644,12282
"BRD-K00436546.txt.mat",644,12282
"BRD-K00442147.txt.mat",644,12282
"BRD-K00445923.txt.mat",644,12282
"BRD-K00449983.txt.mat",644,12282
"BRD-K00458136.txt.mat",644,12282
